"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Nick Williams","Phillies","ATL @ PHI","RF","4.18",".95",".56",".18",".04",".18",".49",".64",".03",".03",".34","1.29","6.52","10.20","7.71","14330"
"Todd Frazier","Mets","NYM @ SD","3B","4.45",".78",".41",".17",".01",".19",".51",".49",".04",".03",".69","1.15","6.62","10.27","7.63","785"
"C.J. Cron","Rays","TB @ BOS","1B","4.56","1.07",".62",".27",".01",".17",".53",".51",".04",".03",".27","1.29","6.49","10.10","7.78","12546"
"Andrew McCutchen","Giants","","RF","4.44","1.01",".65",".22",".02",".12",".58",".40",".06",".04",".54",".93","6.54","10.12","7.75","9847"
"Jeimer Candelario","Tigers","DET @ BAL","3B","4.59","1.02",".58",".28",".03",".12",".58",".46",".01",".01",".47",".97","6.52","10.13","7.71","13621"
"Nicholas Castellanos","Tigers","DET @ BAL","RF","4.39","1.07",".65",".25",".03",".14",".47",".61",".02",".02",".30",".87","6.46","10.09","7.73","11737"
"Wilmer Flores","Mets","NYM @ SD","1B","4.35",".99",".59",".20",".01",".19",".48",".60",".02",".01",".35",".72","6.48","10.12","7.69","5827"
"Didi Gregorius","Yankees","NYY @ LAA","SS","4.51","1.04",".65",".21",".01",".16",".50",".55",".04",".02",".34",".75","6.45","10.06","7.71","6012"
"Cesar Hernandez","Phillies","ATL @ PHI","2B","4.59","1.06",".80",".16",".04",".07",".57",".30",".11",".07",".62",".96","6.45","9.94","7.74","10556"
"Yangervis Solarte","Blue Jays","TEX @ TOR","2B","4.23","1.01",".62",".22",".01",".16",".51",".58",".02",".01",".36",".52","6.43","10.04","7.63","5352"
"Howie Kendrick","Nationals","ARI @ WSH","LF","4.29","1.15",".78",".26",".02",".09",".49",".54",".06",".04",".33",".85","6.38","9.93","7.69","4229"
"Javier Baez","Cubs","MIL @ CHC","2B","4.51","1.01",".62",".21",".03",".15",".57",".46",".07",".05",".30","1.21","6.40","9.95","7.67","12979"
"Daniel Descalso","Diamondbacks","ARI @ WSH","2B","4.44",".99",".62",".22",".03",".12",".52",".57",".03",".02",".44",".81","6.42","10.01","7.59","8392"
"Yoan Moncada","White Sox","","2B","4.29",".90",".56",".17",".02",".14",".46",".48",".11",".07",".50","1.40","6.42","9.97","7.60","17232"
"Asdrubal Cabrera","Mets","NYM @ SD","2B","4.66","1.09",".69",".26",".01",".14",".56",".38",".03",".02",".42",".83","6.39","9.89","7.66","4962"
"Dee Gordon","Mariners","SEA @ CLE","CF","4.73","1.20",".94",".18",".05",".03",".47",".32",".28",".11",".22",".97","6.27","9.66","7.83","8203"
"Jean Segura","Mariners","SEA @ CLE","SS","4.61","1.15",".81",".23",".03",".07",".52",".42",".14",".06",".28",".92","6.30","9.77","7.69","5933"
"Willson Contreras","Cubs","MIL @ CHC","C","4.20",".87",".53",".20",".02",".13",".51",".57",".04",".02",".56",".90","6.40","9.99","7.46","11609"
"Marwin Gonzalez","Astros","OAK @ HOU","LF","3.91",".98",".59",".23",".01",".14",".53",".53",".05",".03",".36",".85","6.34","9.87","7.51","5497"
"Chris Iannetta","Rockies","COL @ MIA","C","4.32",".88",".49",".20",".00",".18",".49",".54",".01",".01",".51","1.07","6.37","9.92","7.44","8267"
