Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Kyle Schwarber (10617665),Kyle Schwarber,10617665,OF,4700,MIL@CHC 04/29/2018 02:20PM ET,CHC,9.46
SP,Forrest Whitley (10617748),Forrest Whitley,10617748,P,4700,OAK@HOU 04/29/2018 02:10PM ET,HOU,0
SP,James Shields (10617360),James Shields,10617360,P,4700,CWS@KC 04/29/2018 02:15PM ET,CWS,4.9
2B,Javier Baez (10617598),Javier Baez,10617598,2B,4600,MIL@CHC 04/29/2018 02:20PM ET,CHC,11.96
SP,Kendall Graveman (10617625),Kendall Graveman,10617625,P,4600,OAK@HOU 04/29/2018 02:10PM ET,OAK,3.66
SP,Josh Staumont (10617730),Josh Staumont,10617730,P,4600,CWS@KC 04/29/2018 02:15PM ET,KC,0
SP,Aaron Slegers (10617684),Aaron Slegers,10617684,P,4600,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
SP,Williams Perez (10617528),Williams Perez,10617528,P,4500,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Grant Holmes (10617712),Grant Holmes,10617712,P,4500,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
2B,Brian Dozier (10617500),Brian Dozier,10617500,2B,4500,CIN@MIN 04/29/2018 02:10PM ET,MIN,8.96
OF,Khris Davis (10617418),Khris Davis,10617418,OF,4400,OAK@HOU 04/29/2018 02:10PM ET,OAK,8.78
3B,Eugenio Suarez (10617525),Eugenio Suarez,10617525,3B,4400,CIN@MIN 04/29/2018 02:10PM ET,CIN,9.18
1B,Anthony Rizzo (10617440),Anthony Rizzo,10617440,1B,4300,MIL@CHC 04/29/2018 02:20PM ET,CHC,5.62
SP,Jen-Ho Tseng (10617667),Jen-Ho Tseng,10617667,P,4300,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Daniel Gossett (10617610),Daniel Gossett,10617610,P,4300,OAK@HOU 04/29/2018 02:10PM ET,OAK,-2.25
1B,Joey Votto (10617364),Joey Votto,10617364,1B,4300,CIN@MIN 04/29/2018 02:10PM ET,CIN,7.38
1B/OF,Ryan Braun (10617391),Ryan Braun,10617391,1B/OF,4200,MIL@CHC 04/29/2018 02:20PM ET,MIL,7.52
OF,Christian Yelich (10617553),Christian Yelich,10617553,OF,4200,MIL@CHC 04/29/2018 02:20PM ET,MIL,8.06
SP,Trevor Clifton (10617687),Trevor Clifton,10617687,P,4200,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
2B,Jed Lowrie (10617398),Jed Lowrie,10617398,2B,4200,OAK@HOU 04/29/2018 02:10PM ET,OAK,10.26
RP,Brady Rodgers (10617515),Brady Rodgers,10617515,P,4200,OAK@HOU 04/29/2018 02:10PM ET,HOU,0
SS,Marcus Semien (10617543),Marcus Semien,10617543,SS,4200,OAK@HOU 04/29/2018 02:10PM ET,OAK,8.78
3B,Mike Moustakas (10617425),Mike Moustakas,10617425,3B,4200,CWS@KC 04/29/2018 02:15PM ET,KC,9.96
OF,Lorenzo Cain (10617386),Lorenzo Cain,10617386,OF,4100,MIL@CHC 04/29/2018 02:20PM ET,MIL,9.04
