"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Wilmer Flores","Mets","NYM @ SD","1B","4.32","1.08",".68",".20",".01",".19",".50",".65",".02",".01",".32",".60","6.75","10.56","8.06","5827"
"Lucas Duda","Royals","CWS @ KC","1B","4.20",".86",".45",".21",".00",".20",".56",".54",".01",".01",".63",".88","6.85","10.65","7.92","2502"
"Asdrubal Cabrera","Mets","NYM @ SD","2B","4.52","1.18",".77",".27",".01",".13",".54",".53",".03",".02",".38",".67","6.72","10.46","8.07","4962"
"Trevor Story","Rockies","COL @ MIA","SS","4.38",".91",".51",".20",".03",".17",".50",".60",".06",".04",".49","1.37","6.78","10.57","7.94","12564"
"Corey Dickerson","Pirates","STL @ PIT","LF","4.15","1.16",".71",".27",".03",".15",".54",".60",".03",".02",".20",".63","6.69","10.44","8.06","10762"
"Justin Smoak","Blue Jays","TEX @ TOR","1B","4.33",".89",".46",".22",".00",".20",".55",".54",".01",".01",".58","1.09","6.80","10.58","7.90","9054"
"Jose Peraza","Reds","CIN @ MIN","SS","4.75","1.31","1.03",".19",".03",".05",".61",".44",".19",".10",".14",".52","6.61","10.26","8.20","13593"
"Cesar Hernandez","Phillies","ATL @ PHI","2B","4.61","1.08",".80",".17",".04",".07",".60",".34",".11",".07",".65",".85","6.73","10.39","8.04","10556"
"J.T. Realmuto","Marlins","COL @ MIA","C","4.46","1.14",".74",".24",".03",".14",".57",".44",".07",".04",".35",".84","6.68","10.36","8.06","11739"
"Eduardo Nunez","Red Sox","TB @ BOS","2B","4.15","1.12",".75",".27",".01",".09",".47",".58",".15",".07",".30",".58","6.65","10.35","8.01","6848"
"Gregory Polanco","Pirates","STL @ PIT","RF","4.46","1.07",".65",".25",".02",".15",".59",".47",".08",".05",".30",".71","6.67","10.35","7.99","12907"
"Adam Jones","Orioles","DET @ BAL","CF","4.26","1.10",".72",".17",".01",".21",".55",".61",".02",".01",".24",".70","6.64","10.37","7.96","6368"
"Enrique Hernandez","Dodgers","LAD @ SF","2B","4.61",".93",".53",".23",".04",".12",".55",".53",".03",".02",".61","1.03","6.71","10.44","7.82","10472"
"Francisco Lindor","Indians","SEA @ CLE","SS","4.51","1.06",".65",".23",".03",".15",".55",".47",".09",".05",".34",".63","6.63","10.28","7.95","12916"
"Buster Posey","Giants","LAD @ SF","C","4.28","1.15",".80",".26",".01",".09",".52",".56",".03",".02",".47",".48","6.61","10.31","7.89","9166"
"Javier Baez","Cubs","MIL @ CHC","2B","4.40","1.12",".72",".22",".04",".14",".56",".45",".08",".05",".25","1.06","6.55","10.16","7.93","12979"
"Nick Williams","Phillies","ATL @ PHI","RF","4.20",".96",".58",".18",".03",".17",".46",".66",".04",".03",".36","1.23","6.55","10.25","7.76","14330"
"C.J. Cron","Rays","TB @ BOS","1B","4.43",".97",".55",".25",".01",".16",".48",".59",".03",".02",".40","1.25","6.53","10.19","7.71","12546"
"Yadier Molina","Cardinals","STL @ PIT","C","4.39","1.11",".76",".22",".00",".12",".50",".64",".04",".03",".30",".49","6.48","10.14","7.76","7007"
"Kurt Suzuki","Braves","ATL @ PHI","C","4.32","1.03",".66",".20",".00",".17",".50",".63",".01",".01",".37",".66","6.51","10.17","7.71","8259"
"Michael Conforto","Mets","NYM @ SD","CF","4.75",".95",".62",".16",".02",".15",".60",".40",".04",".02",".59","1.21","6.54","10.12","7.70","16376"
"Paul Goldschmidt","Diamondbacks","ARI @ WSH","1B","4.39",".92",".56",".16",".01",".18",".48",".48",".06",".03",".53","1.43","6.52","10.11","7.69","9218"
"Shin-Soo Choo","Rangers","TEX @ TOR","DH","4.58",".95",".59",".21",".01",".14",".51",".46",".06",".04",".56","1.03","6.51","10.10","7.67","3174"
"Xander Bogaerts","Red Sox","TB @ BOS","SS","4.25","1.03",".69",".24",".02",".09",".51",".55",".06",".03",".50",".87","6.46","10.08","7.65","12161"
"DJ LeMahieu","Rockies","COL @ MIA","2B","4.81","1.21",".92",".20",".03",".07",".54",".38",".06",".04",".48",".57","6.42","9.92","7.79","9874"
"Yangervis Solarte","Blue Jays","TEX @ TOR","2B","4.24",".97",".56",".24",".01",".16",".51",".57",".02",".01",".42",".65","6.47","10.09","7.63","5352"
